TotalGames,Wins,Losses,Grass wins,Grass losses,Clay wins,Clay losses,Hard wins,Hard losses,Indoors wins,Indoors losses,Other wins,Other losses,Player
23,0.4782608695652174,0.5217391304347826,0.0,0.043478260869565216,0.43478260869565216,0.34782608695652173,0.043478260869565216,0.08695652173913043,0.0,0,0.0,0.0,Oprandi Romina
34,0.6176470588235294,0.38235294117647056,0.08823529411764706,0.029411764705882353,0.0,0.3235294117647059,0.029411764705882353,0.029411764705882353,0.0,0,0.0,0.0,Mayer Leonardo
32,0.71875,0.28125,0.34375,0.03125,0.34375,0.09375,0.03125,0.0625,0.0,0,0.0,0.0625,Kyrgios Nick
51,0.7647058823529411,0.23529411764705882,0.0196078431372549,0.0392156862745098,0.6274509803921569,0.11764705882352941,0.09803921568627451,0.0784313725490196,0.0,0,0.0196078431372549,0.0,Begu Irina
25,0.52,0.48,0.08,0.08,0.04,0.16,0.36,0.16,0.0,0,0.0,0.04,Hewitt Lleyton
23,0.21739130434782608,0.782608695652174,0.043478260869565216,0.13043478260869565,0.0,0.21739130434782608,0.17391304347826086,0.391304347826087,0.0,0,0.0,0.0,Ebden Matthew
38,0.5789473684210527,0.42105263157894735,0.07894736842105263,0.05263157894736842,0.15789473684210525,0.18421052631578946,0.34210526315789475,0.18421052631578946,0.0,0,0.0,0.0,Kudryavtseva Alla
31,0.41935483870967744,0.5806451612903226,0.03225806451612903,0.06451612903225806,0.0,0.3870967741935484,0.0967741935483871,0.12903225806451613,0.0,0,0.0,0.0,Granollers-Pujol Marcel
48,0.7083333333333334,0.2916666666666667,0.14583333333333334,0.020833333333333332,0.125,0.10416666666666667,0.3333333333333333,0.14583333333333334,0.0,0,0.08333333333333333,0.0,Kerber Angelique
51,0.7843137254901961,0.21568627450980393,0.13725490196078433,0.0196078431372549,0.2549019607843137,0.0784313725490196,0.37254901960784315,0.09803921568627451,0.0,0,0.0196078431372549,0.0196078431372549,Ivanovic Ana
37,0.6756756756756757,0.32432432432432434,0.08108108108108109,0.05405405405405406,0.43243243243243246,0.16216216216216217,0.13513513513513514,0.08108108108108109,0.0,0,0.02702702702702703,0.02702702702702703,Dancevic Frank
31,0.45161290322580644,0.5483870967741935,0.0,0.06451612903225806,0.2903225806451613,0.1935483870967742,0.16129032258064516,0.22580645161290322,0.0,0,0.0,0.06451612903225806,Cepelova Jana
46,0.6304347826086957,0.3695652173913043,0.10869565217391304,0.043478260869565216,0.0,0.021739130434782608,0.3695652173913043,0.2391304347826087,0.0,0,0.0,0.021739130434782608,Ito Tatsuma
34,0.5294117647058824,0.47058823529411764,0.058823529411764705,0.08823529411764706,0.17647058823529413,0.11764705882352941,0.23529411764705882,0.14705882352941177,0.0,0,0.029411764705882353,0.029411764705882353,Benneteau Julien
30,0.43333333333333335,0.5666666666666667,0.06666666666666667,0.1,0.06666666666666667,0.13333333333333333,0.23333333333333334,0.23333333333333334,0.0,0,0.06666666666666667,0.06666666666666667,Wickmayer Yanina
39,0.5897435897435898,0.41025641025641024,0.02564102564102564,0.02564102564102564,0.0,0.3333333333333333,0.0,0.0,0.0,0,0.02564102564102564,0.02564102564102564,Haider-Maurer Andreas
32,0.53125,0.46875,0.09375,0.0625,0.1875,0.1875,0.25,0.21875,0.0,0,0.0,0.0,Peng Shuai
37,0.5675675675675675,0.43243243243243246,0.16216216216216217,0.05405405405405406,0.02702702702702703,0.16216216216216217,0.1891891891891892,0.16216216216216217,0.0,0,0.0,0.0,Herbert Pierre-Hugues
41,0.5853658536585366,0.4146341463414634,0.04878048780487805,0.0975609756097561,0.2682926829268293,0.14634146341463414,0.12195121951219512,0.0975609756097561,0.0,0,0.024390243902439025,0.024390243902439025,Estrella Victor
28,0.39285714285714285,0.6071428571428571,0.0,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.25,0.21428571428571427,0.0,0,0.0,0.07142857142857142,Piter Katarzyna
36,0.4722222222222222,0.5277777777777778,0.0,0.08333333333333333,0.2222222222222222,0.25,0.1111111111111111,0.16666666666666666,0.0,0,0.1388888888888889,0.027777777777777776,Pereira Teliana
32,0.3125,0.6875,0.0625,0.09375,0.125,0.25,0.0625,0.21875,0.0,0,0.03125,0.09375,Kukushkin Mikhail
34,0.7058823529411765,0.29411764705882354,0.17647058823529413,0.029411764705882353,0.08823529411764706,0.11764705882352941,0.38235294117647056,0.14705882352941177,0.0,0,0.058823529411764705,0.0,Makarova Ekaterina
37,0.5135135135135135,0.4864864864864865,0.0,0.02702702702702703,0.0,0.32432432432432434,0.0,0.13513513513513514,0.0,0,0.0,0.0,Carreno-Busta Pablo
32,0.375,0.625,0.0625,0.0625,0.28125,0.28125,0.03125,0.1875,0.0,0,0.0,0.09375,Glushko Julia
41,0.5853658536585366,0.4146341463414634,0.0,0.024390243902439025,0.0,0.2682926829268293,0.12195121951219512,0.0975609756097561,0.0,0,0.0,0.0,Kiick Alexandra
38,0.5789473684210527,0.42105263157894735,0.05263157894736842,0.05263157894736842,0.21052631578947367,0.15789473684210525,0.18421052631578946,0.15789473684210525,0.0,0,0.07894736842105263,0.02631578947368421,Svitolina Elina
36,0.6111111111111112,0.3888888888888889,0.05555555555555555,0.08333333333333333,0.16666666666666666,0.1388888888888889,0.3611111111111111,0.1388888888888889,0.0,0,0.0,0.0,Isner John
